Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
60	https://operacaocovid19.defesa.gov.br/noticias/noticia/799	25/03/2020	2º BIS unindo esforços em apoio à sociedade paraense contra o coronavírus 	No dia 25 de março, o 2° Batalhão de Infantaria de Selva, no contexto da Operação COVID-19, realizou ações humanitárias em apoio ao Governo do Estado do Pará. Cerca de 40 militares atuaram realizando atividades logísticas de recebimento, organização e estocagem de material e gêneros que serão distribuídos para pessoas em vulnerabilidade social, acolhidos no Estádio Jornalista Edgar Proença, o Mangueirão.	Apoio Logístico		Norte	PA	Belém 
61	https://operacaocovid19.defesa.gov.br/noticias/noticia/800	31/03/2020	Forças Armadas empregaram mais de 18 mil militares na Operação Covid-19	Até o momento, mais de 18 mil militares das Forças Armadas (Marinha, Exército e Aeronáutica) foram empregados na Operação Covid-19. No enfrentamento à pandemia, os 10 Comandos Conjuntos, que cobrem todo o território nacional, e o Comando Aeroespacial (COMAE) utilizam cerca de 700 viaturas e 40 embarcações. As ações envolvem descontaminação de trens e metrôs, reconhecimento para emprego de Defesa Biológica, Nuclear, Química e Radiológica (BQRN), apoio a equipes de saúde e laboratórios militares, entre outros.	Apoio Logístico		Sul	SC	Lages 
62	https://operacaocovid19.defesa.gov.br/noticias/noticia/801	31/03/2020	Comando do 5º Distrito Naval apoia prefeituras no combate e prevenção do novo coronavírus  	O Comando do 5º Distrito Naval está apoiando as prefeituras no combate e prevenção do novo coronavírus no Rio Grande do Sul. Em Rio Grande, o Grupamento de Fuzileiros Navais do Rio Grande (GptFNRG) realiza limpeza diária nas paradas de ônibus e em outros pontos da cidade, em parceria com a Prefeitura local. As limpezas iniciaram no dia 20 de março e ocorrem diariamente das 14 às 19 horas em vários pontos. Essa é uma maneira da Marinha do Brasil (MB) apoiar na prevenção da disseminação do vírus.	Higienização		Sul	RS	Rio Grande 
63	https://operacaocovid19.defesa.gov.br/noticias/noticia/802	31/03/2020	Força de Fuzileiros da Esquadra participa de ações conjuntas de prevenção e combate ao Covid-19	Desde o dia 18 de março, a Força de Fuzileiros da Esquadra (FFE), em atendimento às diretrizes emanadas pelo Ministério da Defesa, tem mobilizado tropas e meios, no sentido de cooperar com o esforço nacional de prevenção e combate ao novo coronavírus.	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
64	https://operacaocovid19.defesa.gov.br/noticias/noticia/803	31/03/2020	2° Batalhão de Operações Ribeirinhas realiza descontaminação preventiva no Terminal Hidroviário de Belém-PA	A Equipe de Resposta e Defesa Nuclear, Biológica, Química e Radiológica do 2° Batalhão de Operações Ribeirinhas (2°BtlOpRib) realizou, no dia 27 de março, a descontaminação preventiva do Terminal Hidroviário de Belém-PA, porto subordinado a Companhia de Portos e Hidrovias do Estado do Pará, com objetivo de combater a proliferação do novo Coronavírus (Covid-19). A ação durou cerca de cinco horas e empregou mais de cem militares.	Higienização		Norte	PA	Belém
66	https://operacaocovid19.defesa.gov.br/noticias/noticia/805	31/03/2020	Centro Tecnológico do Corpo de Fuzileiros Navais utiliza impressoras 3D na produção de máscaras para profissionais da saúde	O uso da tecnologia na prevenção e no combate ao coronavírus vem sendo uma das prioridades da Marinha do Brasil. Pensando nisso, o Centro Tecnológico do Corpo de Fuzileiros Navais (CTecCFN) vem atuando na fabricação de máscaras face shield, que garantem a cobertura completa do rosto, a partir de impressoras 3D. Estão sendo fabricadas cerca de 30 máscaras por dia, que serão doadas aos profissionais da Saúde engajados no combate à pandemia.	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
67	https://operacaocovid19.defesa.gov.br/noticias/noticia/806	31/03/2020	Capitania dos Portos da Amazônia Oriental atua no combate ao Covid-19 durante inspeção naval	A Capitania dos Portos da Amazônia Oriental (CPAOR) realizou, no dia 26 de março, inspeção naval no Porto Amazonas, em Belém-PA. Na ocasião, tripulantes e passageiros foram orientados sobre as medidas preventivas de segurança no combate ao Covid-19. A equipe de inspeção naval realizou o trabalho de identificar eventuais embarcações clandestinas oriundas de outros países.	Inspeções Sanitárias		Norte	PA	Belém
68	https://operacaocovid19.defesa.gov.br/noticias/noticia/807	31/03/2020	Capitania dos Portos do Amapá intensifica ações de conscientização e prevenção ao Covid-19  	A Capitania dos Portos do Amapá (CPAP) realizou, no dia 27 de março, ações de conscientização sobre o enfrentamento ao Covid-19, com entrega de folders aos passageiros e tripulantes nos portos de Santana-AP e Macapá-AP. Durante as abordagens, além dos aspectos relacionados à salvaguarda da vida humana, à prevenção da poluição e à segurança da navegação, a equipe de Inspeção Naval realizou palestra e orientou sobre as medidas de prevenção ao contágio e propagação do coronavírus.	Apoio de Saúde		Norte	AM	Santana
69	https://operacaocovid19.defesa.gov.br/noticias/noticia/808	31/03/2020	Capitania dos Portos do Maranhão realiza ação contra o novo coronavírus	A Capitania dos Portos do Maranhão (CPMA) realizou, no dia 28 de março, ação de conscientização sobre prevenção e combate ao novo coronavírus no Terminal de Ferry Boat, localizado na Ponta da Espera, e no cais da Praia Grande, em São Luís-MA. Durante o trabalho, tripulantes e passageiros foram orientados sobre cuidados a serem tomados com relação ao Covid-19.	Apoio de Saúde		Nordeste	MA	São Luís
70	https://operacaocovid19.defesa.gov.br/noticias/noticia/809	31/03/2020	Comando conjunto norte atua no apoio às ações contra o coronavírus nos estados do Pará, Amapá e Maranhão	O Comando Conjunto Norte (CCN), constituído pelo Comando Militar do Norte (CMN), pelo Comando do 4º Distrito Naval e pela ALA 9, vem trabalhando no apoio aos órgãos federais, estaduais e municipais, visando prevenir e diminuir os impactos causados pela COVID-19 na população dos estados do Pará, Amapá e Maranhão.	Apoio Logístico		Norte	PA	Belém
71	https://operacaocovid19.defesa.gov.br/noticias/noticia/810	01/04/2020	Forças Armadas realizam doação de sangue e desinfecção de hospitais de Brasília	Na terça-feira passada, (31), dois hospitais de Brasília foram desinfectados: o Hospital Regional da Asa Norte (HRAN) e o Hospital de Base do Distrito Federal (HBDF). A ação faz parte da Operação Covid-19, que ativou 10 Comandos Conjuntos espalhados por todo o Brasil e é coordenada pelo Ministério da Defesa.	Higienização		Centro-Oeste	DF	Brasília
72	https://operacaocovid19.defesa.gov.br/noticias/noticia/811	31/03/2020	Militares do comando conjunto planalto promovem desinfecção da Estação Central do metrô de Brasília	Na madrugada de 29 de março, em mais uma ação de prevenção e enfrentamento ao coronavírus, militares da Companhia de Defesa Química, Biológica, Radiológica e Nuclear do Exército Brasileiro realizaram a desinfecção da Estação Central do metrô, localizada na Rodoviária do Plano Piloto, em Brasília.	Higienização		Centro-Oeste	DF	Brasília
73	https://operacaocovid19.defesa.gov.br/noticias/noticia/812	31/03/2020	Força Aérea atua no combate à COVID-19 em Guarulhos-SP	Militares da Base Aérea de São Paulo (BASP), sob orientação do Comando Conjunto do Sudeste, iniciaram nesta segunda-feira (30), um trabalho de apoio ao Centro de Combate ao Coronavírus, localizado em Guarulhos (SP).	Apoio de Saúde		Sudeste	SP	Guarulhos 
74	https://operacaocovid19.defesa.gov.br/noticias/noticia/813	01/04/2020	Militares realizam ações de prevenção à COVID-19 em asilo de São Luís (MA)	No dia 28 de março, no contexto das ações de combate à pandemia do coronavírus COVID-19, o 24° Batalhão de Infantaria de Selva apoiou o Asilo de Mendicidade na capital maranhense, que abriga, atualmente, 33 (trinta e três) idosos.	Apoio Logístico		Nordeste	MA	São Luís
75	https://operacaocovid19.defesa.gov.br/noticias/noticia/814	30/03/2020	FAB suspende Exames de Admissão e Processos Seletivos temporariamente	A Força Aérea Brasileira (FAB) suspendeu, temporariamente, os Exames de Admissão e os Processos Seletivos em andamento, tendo em vista a importância de reforçar os cuidados preventivos e diminuir os riscos de contágio e estabelecer as medidas para enfrentamento da emergência de saúde pública internacional decorrente do novo Coronavírus (COVID-19).	Comunicação				Brasil 
76	https://operacaocovid19.defesa.gov.br/noticias/noticia/815	01/04/2020	Impressoras 3D produzem máscaras para proteção de profissionais da saúde	Uma das grandes dificuldades enfrentadas no combate à disseminação da COVID-19 é a falta de equipamentos de proteção para profissionais da área da saúde. Para minimizar o problema, o Centro Tecnológico do Corpo de Fuzileiros Navais (CTecCFN), que tem um Laboratório 3D, e o SOS3DCOVID-19, uma parceria de profissionais civis que tem a expertise na fabricação, uniram-se para produzir máscaras de proteção para militares e civis.	Apoio de Saúde		Centro-Oeste	DF	Brasília
78	https://operacaocovid19.defesa.gov.br/noticias/noticia/817	25/03/2020	Colégio reforça medidas de prevenção ao novo coronavírus	No dia 25 de março, com o objetivo de conter ou impedir a disseminação do novo coronavírus (COVID-19) dentro das instalações do Colégio Militar do Rio de Janeiro (CMRJ), preservando assim, a saúde de seus integrantes e visitantes, foi instalado um posto de triagem na entrada do Colégio.	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
79	https://operacaocovid19.defesa.gov.br/noticias/noticia/818	01/04/2020	Batalhão de Defesa Nuclear, Biológica, Química e Radiológica realiza ações contra Covid-19 no Programa Nuclear da Marinha	O Batalhão de Defesa Nuclear, Biológica, Química e Radiológica (BtlDefNBQR) do Centro Experimental de Aramar (CEA) atuou, no dia 27 de março, em ações preventivas ao Covid-19, somando esforços no combate à pandemia do novo coronavírus. Na ocasião, foram realizadas a triagem da força de trabalho e a desinfecção e descontaminação de ambientes e viaturas, visando a preservar as pessoas e manter a capacidade operacional no âmbito do Centro Tecnológico da Marinha em São Paulo e do Programa Nuclear da Marinha (PNM).	Higienização		Sudeste	SP	São Paulo 
80	https://operacaocovid19.defesa.gov.br/noticias/noticia/819	01/04/2020	Estágio básico de defesa Nuclear, Bacteriológica, Química e Radiológica é realizado em Salvador-BA	O Estágio Básico de Defesa Nuclear, Biológica, Química e Radiológica (NBQR), conduzido pelo Comando do 2ºDistrito Naval, por meio do Grupamento de Fuzileiros Navais de Salvador, foi finalizado no dia 31 de março. Com duração de quatro dias úteis, o estágio contou com a participação de 30 alunos, sendo 15 da Marinha do Brasil, 6 do Exército Brasileiro, 5 da Força Aérea Brasileira, 1 Policial Militar, 2 Bombeiros Militares e 1 agente da Defesa Civil do Estado da Bahia.	Coordenação		Nordeste	BA	Salvador
81	https://operacaocovid19.defesa.gov.br/noticias/noticia/820	25/03/2020	Brigada inicia ações de apoio na fronteira Brasil-Bolívia contra o contágio e disseminação do covid-19	Desde o dia 20 de março, o Comando da 18ª Brigada de Infantaria de Fonteira (18ª Bda Inf Fron) mobilizou e ativou a Força Terrestre Componente Pantanal (FTC – Pantanal), com objetivo de proporcionar, inicialmente, apoio às ações dos órgãos de segurança pública do estado do Mato Grosso do Sul, tudo para que a disseminação do novo coronavírus (COVID-19) possa ser contida e cause o mínimo de danos à saúde da população sul-mato-grossense.	Apoio Logístico		Centro-Oeste	MS	Corumbá
82	https://operacaocovid19.defesa.gov.br/noticias/noticia/821	24/03/2020	Observatório militar da praia vermelha explica a relação da covid-19 e o emprego DQBRN	A Escola de Comando e Estado-Maior do Exército (ECEME), através do Observatório Militar da Praia Vermelha (OMPV), produziu um artigo com relevantes informações relativas ao COVID-19.	Comunicação		Sudeste	RJ	Rio de Janeiro
83	https://operacaocovid19.defesa.gov.br/noticias/noticia/822	24/03/2020	Exército integra gabinete de crise para o combate à covid-19 	No dia 21 de março, o Chefe da Instrução do Tiro de Guerra de Codó foi convidado, pela Secretaria Municipal de Saúde, para integrar o Gabinete de Crise para combater o avanço do corona vírus no município. O evento contou com a presença do Prefeito e Diretor do TG, Francisco Nagib; do Secretário Municipal de Saúde, Sueslson Sales; do Comandante da 15ª CIBM, Capitão Belo; do Chefe da Instrução do TG 08-007; da Coordenadora da Vigilância Sanitária, Juliana Lopes; e demais autoridades do município.	Coordenação		Nordeste	MA	Codó
84	https://operacaocovid19.defesa.gov.br/noticias/noticia/823	24/03/2020	Comando conjunto leste apoia ações de mitigação dos impactos do coronavírus nos estados de MG, RJ e ES	No dia 21 de março, foi ativado o Comando Conjunto Leste (CmdoCj L), cujo objetivo é atuar na prevenção e no controle da pandemia do novo coronavírus (Covid-19), em cooperação com diversos órgãos e agências governamentais nas áreas de saúde e de segurança pública, nos três estados do Comando Militar do Leste (CML): Rio de Janeiro, Minas Gerais e Espírito Santo. A medida foi tomada por determinação do Presidente da República, por meio da Portaria nº 1.232/GM-MD, de 18 de março de 2020, do Ministério da Defesa.	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
85	https://operacaocovid19.defesa.gov.br/noticias/noticia/824	24/03/2020	Comando conjunto planalto define ações para a prevenção e o controle da covid-19 no Distrito Federal	No dia 22 de março, o Comando Conjunto Planalto reuniu-se com integrantes do governo do Distrito Federal, em cooperação com os órgãos de saúde e segurança pública, visando ações para a prevenção e o controle da COVID-19 no Distrito Federal.	Apoio de Saúde		Centro-Oeste	DF	Brasília
